video_id,student_id,age,gender,major,education,attitude,exam,focus,curiosity,interest,priors,compliance,smartness,family
1,1010,from 25 to 31 years old,others in addition to female or male,Engineering and Technology,doctor,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1011,from 32 to 38 years old,male,Natural Sciences,undergraduate,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1012,from 32 to 38 years old,male,Business and Economics,high school,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1013,from 18 to 24 years old,male,Business and Economics,high school,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1014,from 32 to 38 years old,others in addition to female or male,Business and Economics,undergraduate,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1015,from 18 to 24 years old,female,Engineering and Technology,master,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents do not care about education at all
1,1016,from 32 to 38 years old,others in addition to female or male,Social Sciences,doctor,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1017,larger than 39 years old,male,Humanities and Arts,doctor,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1018,from 18 to 24 years old,male,Humanities and Arts,master,not motivated at all,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1019,from 32 to 38 years old,male,Social Sciences,master,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1020,from 18 to 24 years old,male,Business and Economics,master,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1021,from 32 to 38 years old,male,Natural Sciences,master,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1022,from 18 to 24 years old,female,Engineering and Technology,high school,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1023,from 18 to 24 years old,male,Engineering and Technology,undergraduate,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1024,from 18 to 24 years old,male,Engineering and Technology,high school,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1025,from 32 to 38 years old,male,Business and Economics,high school,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1026,from 32 to 38 years old,others in addition to female or male,Engineering and Technology,high school,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1027,larger than 39 years old,others in addition to female or male,Social Sciences,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1028,from 18 to 24 years old,male,Engineering and Technology,high school,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1029,from 32 to 38 years old,others in addition to female or male,Business and Economics,high school,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1030,larger than 39 years old,male,Humanities and Arts,undergraduate,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1031,from 25 to 31 years old,female,Health and Life Sciences,master,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents do not care about education at all
1,1032,from 18 to 24 years old,female,Humanities and Arts,high school,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1033,from 18 to 24 years old,female,Humanities and Arts,doctor,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1034,from 18 to 24 years old,male,Health and Life Sciences,doctor,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1035,larger than 39 years old,female,Health and Life Sciences,master,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1036,from 25 to 31 years old,male,Business and Economics,high school,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1037,from 25 to 31 years old,female,Social Sciences,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1038,larger than 39 years old,male,Humanities and Arts,doctor,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1039,from 25 to 31 years old,others in addition to female or male,Natural Sciences,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1040,from 32 to 38 years old,female,Social Sciences,master,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1041,larger than 39 years old,male,Humanities and Arts,undergraduate,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1042,from 25 to 31 years old,others in addition to female or male,Natural Sciences,doctor,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1043,from 32 to 38 years old,male,Health and Life Sciences,high school,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1044,from 32 to 38 years old,others in addition to female or male,Engineering and Technology,doctor,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1045,from 18 to 24 years old,female,Health and Life Sciences,undergraduate,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1046,from 32 to 38 years old,female,Natural Sciences,high school,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1047,from 25 to 31 years old,male,Health and Life Sciences,master,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1048,from 32 to 38 years old,male,Social Sciences,high school,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1049,larger than 39 years old,female,Social Sciences,undergraduate,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1050,from 18 to 24 years old,male,Engineering and Technology,master,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,not interested at all in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1051,from 18 to 24 years old,others in addition to female or male,Social Sciences,undergraduate,not motivated at all,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents do not care about education at all
1,1052,larger than 39 years old,female,Natural Sciences,undergraduate,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1053,from 18 to 24 years old,others in addition to female or male,Humanities and Arts,doctor,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1054,from 18 to 24 years old,others in addition to female or male,Health and Life Sciences,high school,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1055,from 18 to 24 years old,others in addition to female or male,Engineering and Technology,high school,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1056,from 25 to 31 years old,female,Engineering and Technology,doctor,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1057,from 18 to 24 years old,male,Engineering and Technology,undergraduate,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1058,from 32 to 38 years old,female,Social Sciences,high school,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1059,from 32 to 38 years old,female,Humanities and Arts,high school,not motivated at all,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents do not care about education at all
1,1060,from 32 to 38 years old,others in addition to female or male,Natural Sciences,high school,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1061,from 32 to 38 years old,male,Engineering and Technology,doctor,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,not interested at all in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1062,from 18 to 24 years old,male,Health and Life Sciences,high school,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1063,larger than 39 years old,female,Natural Sciences,high school,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1064,larger than 39 years old,male,Natural Sciences,doctor,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1065,from 25 to 31 years old,female,Business and Economics,master,not motivated at all,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1066,larger than 39 years old,male,Health and Life Sciences,master,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1067,larger than 39 years old,others in addition to female or male,Business and Economics,undergraduate,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents do not care about education at all
1,1068,from 32 to 38 years old,others in addition to female or male,Natural Sciences,master,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1069,from 18 to 24 years old,others in addition to female or male,Social Sciences,high school,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1070,from 25 to 31 years old,others in addition to female or male,Business and Economics,undergraduate,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1071,from 18 to 24 years old,male,Health and Life Sciences,high school,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1072,from 25 to 31 years old,others in addition to female or male,Engineering and Technology,high school,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1073,larger than 39 years old,others in addition to female or male,Engineering and Technology,undergraduate,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1074,from 25 to 31 years old,others in addition to female or male,Engineering and Technology,undergraduate,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1075,from 25 to 31 years old,others in addition to female or male,Health and Life Sciences,doctor,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1076,from 32 to 38 years old,female,Natural Sciences,doctor,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1077,from 25 to 31 years old,male,Health and Life Sciences,doctor,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1078,from 25 to 31 years old,others in addition to female or male,Health and Life Sciences,doctor,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1079,from 18 to 24 years old,female,Business and Economics,doctor,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1080,from 18 to 24 years old,male,Business and Economics,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1081,from 25 to 31 years old,male,Social Sciences,master,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents do not care about education at all
1,1082,from 18 to 24 years old,male,Natural Sciences,high school,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1083,from 18 to 24 years old,male,Social Sciences,doctor,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1084,larger than 39 years old,male,Humanities and Arts,doctor,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1085,from 32 to 38 years old,female,Business and Economics,master,not motivated at all,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1086,larger than 39 years old,male,Natural Sciences,doctor,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1087,from 25 to 31 years old,female,Natural Sciences,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1088,from 18 to 24 years old,female,Humanities and Arts,undergraduate,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1089,from 25 to 31 years old,others in addition to female or male,Natural Sciences,doctor,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents do not care about education at all
1,1090,from 18 to 24 years old,others in addition to female or male,Social Sciences,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1091,from 18 to 24 years old,others in addition to female or male,Social Sciences,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1092,from 25 to 31 years old,others in addition to female or male,Health and Life Sciences,high school,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1093,from 18 to 24 years old,male,Health and Life Sciences,doctor,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1094,from 32 to 38 years old,female,Business and Economics,doctor,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1095,from 18 to 24 years old,female,Social Sciences,undergraduate,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents do not care about education at all
1,1096,from 18 to 24 years old,male,Engineering and Technology,undergraduate,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents do not care about education at all
1,1097,larger than 39 years old,male,Humanities and Arts,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1098,from 25 to 31 years old,male,Humanities and Arts,master,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1099,from 25 to 31 years old,male,Social Sciences,undergraduate,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1100,larger than 39 years old,male,Health and Life Sciences,high school,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1101,larger than 39 years old,male,Natural Sciences,high school,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents have a strong academic background
1,1102,from 32 to 38 years old,others in addition to female or male,Health and Life Sciences,undergraduate,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,not smart and understands things slowly,parents do not care about education at all
1,1103,from 32 to 38 years old,male,Natural Sciences,undergraduate,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
